hub,bloco,faixa_etaria,foco,key,body,status,nivel_texto,variant_index
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v01,"Entre 0 e 2 anos, o foco some rápido porque a curiosidade puxa mais forte que o controle interno.",published,ouro,1
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v02,"Nessa fase de 0 a 2, parecer não ouvir costuma ser mente ocupada, não desafio, e isso alivia a cobrança.",published,ouro,2
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v03,"No comecinho, de 0 a 2, distração aparece quando tem estímulo demais, como se tudo competisse pelo olhar.",published,ouro,3
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v04,"Com 0 a 2 anos, transições quebram a atenção porque mudar de cena exige um esforço que ainda está crescendo.",published,ouro,4
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v05,"Nessa idade 0-2, a atenção melhora quando há interesse, então o desinteresse pode parecer “desligamento”.",published,ouro,5
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v06,"Em 0-2, o cansaço derruba o foco porque o corpo gasta energia para se conter ao longo do dia.",published,ouro,6
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v07,"Em 0-2, perder o fio da conversa acontece quando a cabeça tenta segurar muita coisa ao mesmo tempo.",published,ouro,7
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v08,"Com 0-2, a atenção pode oscilar por ansiedade, como se a mente procurasse saída antes de começar.",published,ouro,8
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v09,"Na faixa 0-2, o foco varia mais perto da fome ou do sono, e isso não diz nada sobre esforço.",published,base,9
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v10,"Aos 0-2 anos, a atenção pode travar em um detalhe, como se fosse difícil mudar de assunto.",published,base,10
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v11,"Em 0-2, a concentração cai depois de muita novidade, porque o cérebro fica saturado de informação.",published,base,11
meu-filho,bloco-4,0-2,Atenção,bloco-4|0-2|Atenção|v12,"Na fase 0-2, a atenção costuma ser seletiva, então responder só ao que interessa é parte do aprendizado.",published,base,12
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v01,"Entre 0 e 2 anos, a emoção vem grande porque sentir chega antes de conseguir organizar o que acontece por dentro.",published,ouro,1
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v02,"Nessa fase de 0 a 2, chorar forte pode ser descarga, não falta de limite, e isso tira culpa da cena.",published,ouro,2
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v03,"No comecinho, de 0 a 2, irritação aparece do nada quando o corpo está cheio, como se faltasse espaço interno.",published,ouro,3
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v04,"Com 0 a 2 anos, frustração pesa mais porque o desejo é maior que a tolerância para esperar.",published,ouro,4
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v05,"Em 0-2, depois do pico emocional a calma pode voltar rápido, pois a descarga passa e o corpo relaxa.",published,ouro,5
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v06,"Na faixa 0-2, mudanças pequenas viram tempestade porque previsibilidade ainda é o que dá segurança.",published,ouro,6
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v07,"Com 0-2, vergonha começa a aparecer e a criança pode se fechar para não se sentir exposta.",published,ouro,7
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v08,"Em 0-2, a reação parece exagerada quando o sentimento é maior do que as palavras disponíveis.",published,ouro,8
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v09,"Na fase 0-2, raiva pode ser proteção quando algo assusta por dentro e sai como grito.",published,base,9
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v10,"Aos 0-2 anos, o choro pode vir por acúmulo, como se o dia inteiro tivesse sido segurado.",published,base,10
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v11,"Em 0-2, o medo do erro aumenta e a emoção aperta porque agora ele entende quando “não deu certo”.",published,base,11
meu-filho,bloco-4,0-2,Emoções,bloco-4|0-2|Emoções|v12,"Na idade 0-2, a sensibilidade cresce e qualquer “não” pode soar como perda, mesmo sem ser.",published,base,12
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v01,"Entre 0 e 2 anos, querer fazer do próprio jeito cresce porque ele começa a sentir que tem vontade própria.",published,ouro,1
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v02,"Nessa fase de 0 a 2, dizer “não” pode ser afirmação, não desrespeito, e isso muda a leitura do adulto.",published,ouro,2
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v03,"No comecinho, de 0 a 2, resistência aparece quando sente controle demais, como se precisasse recuperar espaço.",published,ouro,3
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v04,"Com 0 a 2 anos, adiar tarefas pode ser medo de errar, já que agora ele percebe comparação e cobrança.",published,ouro,4
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v05,"Em 0-2, insistir em escolher é busca de controle quando o mundo parece grande demais por dentro.",published,ouro,5
meu-filho,bloco-4,0-2,Autonomia,bloco-4|0-2|Autonomia|v06,"Na fase 0-2, autonomia e insegurança andam juntas, então pedir ajuda e rejeitar ajuda podem alternar.",published,ouro,6
