id,hub,title,short_description,steps,duration_minutes,age_band,environment,tags,status,created_at,updated_at
cdm-agradecer-3,cuidar-de-mim,Três coisas que deram certo,Tirar o cérebro da falta por 1 minuto.,"Liste 3 coisas pequenas do dia. | Diga “ok, isso conta”.",5,,any,"emocional, acolhimento, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-agua-com-pausa,cuidar-de-mim,Água com pausa de 60 segundos,Um reset rápido para o corpo sem mudar nada na rotina.,"Pegue um copo de água. | Beba devagar, em 5 goles. | Respire fundo entre cada gole.",5,,any,"acalmar, energia-baixa, baixo-esforço, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-arrumar-um-canto,cuidar-de-mim,Arrumar só um canto,Organização mínima para sensação de controle.,"Escolha um lugar pequeno (mesa, pia). | Tire só o que não pertence ali. | Pare antes de cansar.",10,,any,"autonomia, baixo-esforço, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-cha-ou-cafe-consciente,cuidar-de-mim,Chá/café consciente,Transformar algo que você já faz em autocuidado.,Pegue sua bebida. | Sinta cheiro e temperatura. | Tome devagar por 1 minuto.,5,,any,"acolhimento, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-check-uma-coisa,cuidar-de-mim,Faça uma coisa só,Uma ação pequena para retomar tração.,"Escolha UMA micro tarefa (mandar mensagem, separar roupa). | Faça em 3 minutos. | Pare e reconheça.",5,,any,"autonomia, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-janela-e-ar,cuidar-de-mim,Janela e ar por 2 minutos,Trocar o ar muda o humor mais do que parece.,Abra uma janela. | Respire 5 vezes olhando para fora.,5,,any,"acalmar, energia-baixa, sem-preparação",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-lavar-rosto,cuidar-de-mim,Lavar o rosto com intenção,Um reset físico e mental rapidinho.,Lave o rosto com água. | Seque devagar. | Respire fundo 3 vezes.,5,,any,"acalmar, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-mensagem-para-mim,cuidar-de-mim,Uma frase gentil para você,Trocar cobrança por cuidado em 30 segundos.,Escreva ou diga: “Estou fazendo o meu melhor.” | Repita com a mão no peito.,5,,any,"acolhimento, emocional, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-musica-uma,cuidar-de-mim,Uma música inteira,Um intervalo emocional com começo e fim.,"Coloque uma música que você gosta. | Só ouça, sem fazer mais nada.",5,,any,"acalmar, energia-baixa, acolhimento, música",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-nao-hoje,cuidar-de-mim,“Não hoje” para uma cobrança,Escolher uma coisa para não carregar agora.,Pense numa cobrança. | Diga: “isso pode esperar até amanhã.”,5,,any,"emocional, acolhimento, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-pausa-sem-tela,cuidar-de-mim,Pausa sem tela,2 minutos para descansar os olhos e a mente.,Largue o celular. | Olhe para longe (um ponto fixo). | Respire 5 vezes.,5,,any,"acalmar, energia-baixa, sem-tela",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-pequeno-planejamento,cuidar-de-mim,Planeje só o próximo passo,Reduz ansiedade sem virar lista infinita.,Pergunte: “qual é o próximo passo possível?” | Escreva em 1 linha.,5,,any,"autonomia, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-pes-no-chao,cuidar-de-mim,Pés no chão,Ancorar o corpo para diminuir a pressa interna.,Encoste os pés no chão. | Pressione levemente e solte. | Repita 10 vezes.,5,,any,"acalmar, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-pescoço-solto,cuidar-de-mim,Pescoço solto em 2 minutos,Solta tensão acumulada sem exercício pesado.,Ombros para cima e para baixo 5 vezes. | Vire a cabeça para um lado e respire. | Troque para o outro lado.,5,,any,"acalmar, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
cdm-respiracao-4-4,cuidar-de-mim,Respiração 4-4 simples,Um padrão fácil para voltar ao eixo.,Inspire contando 4. | Solte contando 4. | Repita 6 vezes.,5,,any,"acalmar, acolhimento, energia-baixa",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-3-respiros-juntos,meu-dia-leve,Três respiros juntos,Fechamento rápido com presença.,De mãos dadas. | Inspira… solta… três vezes.,5,,any,"acalmar, conexão, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-caixa-da-calma,meu-dia-leve,Caixa da calma improvisada,Preparar um cantinho simples para desacelerar.,"Separe 3 coisas (livro, bichinho, papel). | Guardem em uma caixa. | Usem por 10 min em silêncio.",15,,any,"acalmar, acolhimento, objetos-da-casa, sem-tela",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-danca-de-1-musica,meu-dia-leve,Dança de uma música,Movimento leve para mudar a energia do dia.,Coloque uma música. | Dancem até acabar. | Terminem com respiração.,10,,any,"música, conexão, energia-media",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-foto-memoria,meu-dia-leve,Foto-memória,Relembrar algo bom sem esforço e com afeto.,Veja 3 fotos antigas rápidas. | Conte uma história curta de cada.,10,,any,"conexão, emocional, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
mdl-historia-curta,meu-dia-leve,História curta de 5 frases,Um mini conto para terminar o dia sem cansar.,Faça uma história de 5 frases. | A criança escolhe o personagem.,10,,any,"linguagem, conexão, energia-baixa, baixo-esforço",published,2026-01-19 23:11:12.294503+00,2026-01-19 23:11:12.294503+00
