id,hub,title,short_description,steps,duration_minutes,age_band,environment,tags,status
mf-manhã-0-2-5-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,5,0–2,Manhã,"rotina,manhã,0-2,5",published
mf-manhã-0-2-5-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,5,0–2,Manhã,"rotina,manhã,0-2,5",published
mf-manhã-0-2-5-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,5,0–2,Manhã,"rotina,manhã,0-2,5",published
mf-manhã-0-2-10-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,10,0–2,Manhã,"rotina,manhã,0-2,10",published
mf-manhã-0-2-10-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,10,0–2,Manhã,"rotina,manhã,0-2,10",published
mf-manhã-0-2-10-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,10,0–2,Manhã,"rotina,manhã,0-2,10",published
mf-manhã-0-2-15-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,15,0–2,Manhã,"rotina,manhã,0-2,15",published
mf-manhã-0-2-15-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,15,0–2,Manhã,"rotina,manhã,0-2,15",published
mf-manhã-0-2-15-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,15,0–2,Manhã,"rotina,manhã,0-2,15",published
mf-manhã-3-4-5-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,5,3–4,Manhã,"rotina,manhã,3-4,5",published
mf-manhã-3-4-5-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,5,3–4,Manhã,"rotina,manhã,3-4,5",published
mf-manhã-3-4-5-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,5,3–4,Manhã,"rotina,manhã,3-4,5",published
mf-manhã-3-4-10-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,10,3–4,Manhã,"rotina,manhã,3-4,10",published
mf-manhã-3-4-10-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,10,3–4,Manhã,"rotina,manhã,3-4,10",published
mf-manhã-3-4-10-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,10,3–4,Manhã,"rotina,manhã,3-4,10",published
mf-manhã-3-4-15-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,15,3–4,Manhã,"rotina,manhã,3-4,15",published
mf-manhã-3-4-15-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,15,3–4,Manhã,"rotina,manhã,3-4,15",published
mf-manhã-3-4-15-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,15,3–4,Manhã,"rotina,manhã,3-4,15",published
mf-manhã-5-6-5-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,5,5–6,Manhã,"rotina,manhã,5-6,5",published
mf-manhã-5-6-5-b,meu-filho,Ajustar a sequência,A sequência do manhã se quebra por excesso de estímulos visíveis ao mesmo tempo.,Organize apenas o que será usado agora. Retire o restante do campo visual. Inicie.,5,5–6,Manhã,"rotina,manhã,5-6,5",published
mf-manhã-5-6-5-c,meu-filho,Reduzir a condução,O adulto conduz cada passo do manhã e a criança reage travando ou resistindo.,Dê espaço físico. Suspenda instruções. Retome só se houver pedido.,5,5–6,Manhã,"rotina,manhã,5-6,5",published
mf-manhã-5-6-10-a,meu-filho,Esperar o corpo acompanhar,"No manhã, o corpo da criança não acompanha a mudança de ritmo e o adulto tenta acelerar.",Reduza o próprio ritmo. Aguarde um sinal corporal de prontidão. Só então avance.,10,5–6,Manhã,"rotina,manhã,5-6,10",published
